trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,screen_size,diet_prompt.started,diet_key_resp.started,diet_response.text,diet_key_resp.keys,diet_key_resp.rt,additional_diet_prompt.started,additional_diet_response.text,red_meat_prompt.started,red_meat_response.text,participant,date,expName,psychopyVersion,frameRate,
,,,,[2880 1800],21.01943470799597,21.01943470799597,2,return,0.9427036660490558,,,,,001,2025-10-03_17h43.17.931,Attitudes about food products,2022.2.5,119.05417416003941,
,,,,,,,,,,22.00929441599874,1,22.859181082982104,1,,,,,,
